pl_name,disc_year,pl_orbper,pl_bmasse,pl_rade,pl_eqt,disc_facility,discoverymethod
Kepler-6 b,2009,3.2346996,212.31044,14.616536,1460.0,Kepler,Transit
Kepler-32 c,2011,8.7522,158.9,2.0,,Kepler,Transit
Kepler-29 c,2011,13.28613,4.5,2.34,,Kepler,Transit
Kepler-20 c,2011,10.8540774,11.1,2.894,828.0,Kepler,Transit
Kepler-52 b,2012,7.8773565,135.0,2.1,,Kepler,Transit
K2-280 b,2018,19.89526,37.1,7.5,787.0,K2,Transit
K2-222 b,2018,15.3889274,7.5,2.275,803.0,K2,Transit
K2-216 b,2018,2.1748,8.0,1.75,1103.0,K2,Transit
K2-295 b,2018,4.024867,106.47305,10.054473,852.0,K2,Transit
K2-157 b,2018,0.3652575,1.14,0.935,2432.0,K2,Transit
EPIC 201595106 b,2021,0.87724,7.67,1.565,2038.0,K2,Transit
K2-263 b,2018,50.819172,15.4,2.513,482.0,K2,Transit
EPIC 229004835 b,2023,16.141132,10.4,2.332,804.0,K2,Transit
G 9-40 b,2019,5.7459982,4.0,1.9,440.6,K2,Transit
HD 80653 b,2020,0.719573,5.72,1.613,2463.0,K2,Transit
Kepler-21 b,2012,2.7858212,7.5,1.639,2015.0,Kepler,Transit
Kepler-8 b,2010,3.5224991,187.5197,15.871944,1680.0,Kepler,Transit
HD 73344 b,2024,15.611,10.48,2.884,911.0,K2,Transit
11 UMi b,2009,516.21997,4684.8142,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
14 And b,2008,186.76,1131.15130051,,,Okayama Astrophysical Observatory,Radial Velocity
16 Cyg B b,1996,798.5,565.7374,,,Multiple Observatories,Radial Velocity
18 Del b,2008,982.85,2926.24614325,,,Okayama Astrophysical Observatory,Radial Velocity
24 Sex b,2010,452.8,632.46,,,Lick Observatory,Radial Velocity
24 Sex c,2010,883.0,273.32,,,Lick Observatory,Radial Velocity
47 UMa b,1996,1078.0,804.08,,,Lick Observatory,Radial Velocity
47 UMa c,2001,2391.0,171.621,,,Lick Observatory,Radial Velocity
47 UMa d,2009,14002.0,521.22,,,Lick Observatory,Radial Velocity
4 UMa b,2006,270.27,2511.48007211,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
51 Peg b,1995,4.230785,150.009,,,Haute-Provence Observatory,Radial Velocity
55 Cnc b,1996,14.651552,276.0,,,Lick Observatory,Radial Velocity
55 Cnc c,2004,44.3936,56.6,,,McDonald Observatory,Radial Velocity
55 Cnc d,2002,4799.0,1214.10451474,,,Lick Observatory,Radial Velocity
55 Cnc e,2004,0.7365474,7.99,1.875,,McDonald Observatory,Radial Velocity
55 Cnc f,2007,260.58,48.5,,,Multiple Observatories,Radial Velocity
61 Vir b,2009,4.215,5.1,,,Multiple Observatories,Radial Velocity
61 Vir c,2009,38.021,18.2,,,Multiple Observatories,Radial Velocity
61 Vir d,2009,123.01,22.9,,,Multiple Observatories,Radial Velocity
6 Lyn b,2008,919.86,597.83523357,,,Okayama Astrophysical Observatory,Radial Velocity
70 Vir b,1996,116.688,2357.02728,,,Lick Observatory,Radial Velocity
7 CMa b,2011,735.1,587.9855,,,Anglo-Australian Telescope,Radial Velocity
81 Cet b,2008,1005.57,1051.05854195,,,Okayama Astrophysical Observatory,Radial Velocity
BD-08 2823 b,2009,5.6,12.7132,,,La Silla Observatory,Radial Velocity
BD-08 2823 c,2009,237.6,104.0,,,La Silla Observatory,Radial Velocity
BD-10 3166 b,2000,3.48777,187.5197,,,W. M. Keck Observatory,Radial Velocity
BD+14 4559 b,2009,268.94,330.5432,,,McDonald Observatory,Radial Velocity
BD-17 63 b,2008,655.57,1639.99458012,,,La Silla Observatory,Radial Velocity
BD+20 2457 b,2009,379.63,6807.63,,,McDonald Observatory,Radial Velocity
BD+20 2457 c,2009,621.99,3963.17,,,McDonald Observatory,Radial Velocity
BD+48 738 b,2011,392.6,289.2253,,,McDonald Observatory,Radial Velocity
bet Pic b,2008,8617.50952,3727.8093857,,,Paranal Observatory,Imaging
CoRoT-10 b,2010,13.2406,874.0,10.87,600.0,CoRoT,Transit
CoRoT-11 b,2010,2.99433,740.51,16.03,1657.0,CoRoT,Transit
CoRoT-12 b,2010,2.828042,291.438,16.14,1442.0,CoRoT,Transit
CoRoT-13 b,2010,4.03519,415.704,9.92,1700.0,CoRoT,Transit
CoRoT-14 b,2010,1.51214,2415.4,12.22,1952.0,CoRoT,Transit
CoRoT-17 b,2011,3.7681,772.29,11.43,1626.0,CoRoT,Transit
CoRoT-18 b,2011,1.9000693,1102.82,14.68,1550.0,CoRoT,Transit
CoRoT-19 b,2011,3.89713,352.78,14.46,2000.0,CoRoT,Transit
CoRoT-1 b,2008,1.5089557,327.35,16.7,1898.0,CoRoT,Transit
CoRoT-20 b,2011,9.24285,1366.669,,,CoRoT,Transit
CoRoT-23 b,2011,3.6313,889.9,11.77,1660.0,CoRoT,Transit
CoRoT-2 b,2008,1.7429935,1102.82,16.432,,CoRoT,Transit
CoRoT-3 b,2008,4.2568,6883.91,11.32,,CoRoT,Transit
CoRoT-4 b,2008,9.20205,228.83,13.34,1074.0,CoRoT,Transit
CoRoT-5 b,2009,4.0378962,148.42,15.558,1438.0,CoRoT,Transit
CoRoT-6 b,2009,8.886593,940.74,13.068,1017.0,CoRoT,Transit
CoRoT-7 b,2009,0.85359163,4.07660518,1.68135,,CoRoT,Transit
Kepler-24 c,2011,12.33,9.99,2.514,,Kepler,Transit
CoRoT-7 c,2009,3.698,8.4,,,CoRoT,Radial Velocity
CoRoT-8 b,2010,6.21229,69.92,6.39,,CoRoT,Transit
CoRoT-9 b,2009,95.272656,266.9772,11.948794,420.0,CoRoT,Transit
DP Leo b,2009,10220.0,1922.79,,,Yunnan Astronomical Observatory,Eclipse Timing Variations
eps Eri b,2000,2671.0,209.76674862,,,Multiple Observatories,Radial Velocity
eps Tau b,2006,585.82,2285.18624633,,,Okayama Astrophysical Observatory,Radial Velocity
gam1 Leo b,2009,428.5,2790.43,,,Bohyunsan Optical Astronomical Observatory,Radial Velocity
gam Cep b,2003,913.0,2097.6674862,,,Multiple Observatories,Radial Velocity
GJ 1214 b,2009,1.580404531,8.41,2.733,567.0,MEarth Project,Transit
GJ 3021 b,2000,133.71,1071.04,,350.0,La Silla Observatory,Radial Velocity
GJ 317 b,2007,695.69,536.49435102,,,W. M. Keck Observatory,Radial Velocity
GJ 3634 b,2010,2.64561,8.4,,,La Silla Observatory,Radial Velocity
GJ 433 b,2013,7.3705,6.043,,,La Silla Observatory,Radial Velocity
GJ 436 b,2004,2.64388312,22.1,4.17,,W. M. Keck Observatory,Radial Velocity
GJ 649 b,2009,600.1,81.99972901,,,W. M. Keck Observatory,Radial Velocity
GJ 667 C c,2013,28.14,3.8,,,La Silla Observatory,Radial Velocity
GJ 674 b,2007,4.6938,11.09,,,La Silla Observatory,Radial Velocity
GJ 676 A b,2010,1051.44521,1840.86213334,,,La Silla Observatory,Radial Velocity
GJ 832 b,2008,3853.0,314.65012293,,,Anglo-Australian Telescope,Radial Velocity
GJ 849 b,2006,1925.31,283.82076745,,,W. M. Keck Observatory,Radial Velocity
GJ 179 b,2009,2288.0,260.61,,,W. M. Keck Observatory,Radial Velocity
GJ 581 b,2005,5.3686,20.5,,,La Silla Observatory,Radial Velocity
GJ 581 c,2007,12.9211,6.81,,,La Silla Observatory,Radial Velocity
GJ 581 e,2009,3.1481,2.48,,,La Silla Observatory,Radial Velocity
GJ 86 b,1999,15.76491,1404.8086,,,La Silla Observatory,Radial Velocity
GJ 876 b,1998,61.1166,723.2235,,,Multiple Observatories,Radial Velocity
GJ 876 c,2000,30.0881,226.9846,,,Multiple Observatories,Radial Velocity
GJ 876 d,2005,1.93778,6.83,,,W. M. Keck Observatory,Radial Velocity
GJ 876 e,2010,124.26,14.6,,,W. M. Keck Observatory,Radial Velocity
HAT-P-12 b,2009,3.2130598,67.059,10.749,963.0,HATNet,Transit
HAT-P-13 b,2009,2.91625,270.462,14.258,,HATNet,Transit
HAT-P-13 c,2009,446.27,4538.421,,,W. M. Keck Observatory,Radial Velocity
HAT-P-14 b,2010,4.62767,1093.3352,15.91678,,HATNet,Transit
HAT-P-15 b,2010,10.8635,616.5902,11.88154,,HATNet,Transit
HAT-P-17 b,2012,10.33852,184.3414,11.76945,,HATNet,Transit
HAT-P-17 c,2012,5584.0,1080.6,,,W. M. Keck Observatory,Radial Velocity
HAT-P-18 b,2010,5.508023,62.61,11.153,852.0,HATNet,Transit
HAT-P-19 b,2010,4.00878322,88.03846874,11.29865255,981.2,HATNet,Transit
HAT-P-1 b,2006,4.46529976,166.86075,14.784671,1322.0,HATNet,Transit
HAT-P-20 b,2010,2.875317,2302.899,9.718,970.0,HATNet,Transit
HAT-P-21 b,2010,4.12448,1547.8321,12.44199,,HATNet,Transit
HAT-P-22 b,2010,3.21222,785.0401,12.89035,,HATNet,Transit
HAT-P-23 b,2010,1.212884,664.237,15.334,2056.0,HATNet,Transit
HAT-P-24 b,2010,3.35524,238.3725,14.5717,,HATNet,Transit
HAT-P-25 b,2012,3.65281514,180.84527,12.722215,1182.0,HATNet,Transit
HAT-P-26 b,2010,4.23452,22.2481,7.06167,,HATNet,Transit
HAT-P-27 b,2011,3.039577,197.05,11.43,,HATNet,Transit
HAT-P-28 b,2011,3.257215,198.953,13.585,1384.0,HATNet,Transit
HAT-P-29 b,2011,5.72319,279.6904,13.11453,,HATNet,Transit
HAT-P-2 b,2007,5.6335158,2739.6946,,,HATNet,Transit
HAT-P-30 b,2011,2.8106,263.7989,16.14096,,HATNet,Transit
HAT-P-31 b,2011,5.00542,721.4741,12.21781,,HATNet,Transit
HAT-P-32 b,2011,2.1500082,216.1244,22.19382,1835.7,HATNet,Transit
HAT-P-33 b,2011,3.47447,292.4036,20.73665,,HATNet,Transit
HAT-P-34 b,2011,5.452654,1058.3739,13.417173,,HATNet,Transit
HAT-P-35 b,2011,3.646706,335.62848,14.930388,,HATNet,Transit
HAT-P-36 b,2011,1.32734683,587.413406,14.313893,1780.97,HATNet,Transit
HAT-P-37 b,2011,2.797436,371.528,13.204,1271.0,HATNet,Transit
HAT-P-3 b,2007,2.8997,206.5895,10.53646,,HATNet,Transit
HAT-P-4 b,2007,3.056536,213.255,14.28,1686.0,HATNet,Transit
HAT-P-5 b,2007,2.78849,311.4734,13.56289,,HATNet,Transit
HAT-P-6 b,2007,3.85298,419.5356,16.58932,,HATNet,Transit
HAT-P-8 b,2008,3.07634,406.8224,15.6926,,HATNet,Transit
HAT-P-9 b,2008,3.92281072,238.05467,15.614137,1540.0,HATNet,Transit
HD 100655 b,2011,157.57001,511.7063,,,Bohyunsan Optical Astronomical Observatory,Radial Velocity
HD 100777 b,2007,383.0,390.92894061,,,La Silla Observatory,Radial Velocity
HD 10180 c,2010,5.75969,13.221728,,,La Silla Observatory,Radial Velocity
HD 10180 d,2010,16.357,12.013974,,,La Silla Observatory,Radial Velocity
HD 10180 e,2010,49.748,25.585315,,,La Silla Observatory,Radial Velocity
HD 10180 f,2010,122.744,22.947326,,,La Silla Observatory,Radial Velocity
HD 10180 g,2010,604.67,23.265156,,,La Silla Observatory,Radial Velocity
HD 10180 h,2010,2205.0,65.663678,,,La Silla Observatory,Radial Velocity
HD 101930 b,2005,70.46,79.4575,,,La Silla Observatory,Radial Velocity
HD 102117 b,2005,20.8133,54.0311,,,La Silla Observatory,Radial Velocity
HD 102195 b,2006,4.11377,130.3103,,,Kitt Peak National Observatory,Radial Velocity
HD 102272 b,2008,127.58,1570.0802,,,McDonald Observatory,Radial Velocity
HD 102329 b,2011,778.09998,2593.4928,,,W. M. Keck Observatory,Radial Velocity
HD 102956 b,2010,6.4947,305.1168,,,W. M. Keck Observatory,Radial Velocity
HD 103197 b,2009,47.84,28.6047,,,La Silla Observatory,Radial Velocity
HD 104067 b,2009,55.851,62.1,,,La Silla Observatory,Radial Velocity
HD 104985 b,2003,199.68,1766.80811451,,,Okayama Astrophysical Observatory,Radial Velocity
HD 106252 b,2002,1535.0,3178.28407,,,Lick Observatory,Radial Velocity
HD 106270 b,2011,1888.0,3219.6179,,,W. M. Keck Observatory,Radial Velocity
HD 10647 b,2006,989.2,298.75,,,W. M. Keck Observatory,Radial Velocity
HD 10697 b,1999,1075.3799,1825.2885414,,,W. M. Keck Observatory,Radial Velocity
HD 107148 b,2005,48.056,66.741,,,W. M. Keck Observatory,Radial Velocity
HD 108147 b,2002,10.8985,82.95,,,La Silla Observatory,Radial Velocity
HD 108863 b,2011,437.7,767.24162,,,W. M. Keck Observatory,Radial Velocity
HD 108874 b,2002,394.48123,451.3186,,,W. M. Keck Observatory,Radial Velocity
HD 108874 c,2005,1624.0,314.64,,,W. M. Keck Observatory,Radial Velocity
HD 109246 b,2010,68.27,273.3338,,,Haute-Provence Observatory,Radial Velocity
HD 109749 b,2005,5.239891,85.8141,,,W. M. Keck Observatory,Radial Velocity
HD 110014 b,2009,835.477,3524.59,,,La Silla Observatory,Radial Velocity
HD 111232 b,2003,1169.13202,2531.50326176,,,La Silla Observatory,Radial Velocity
HD 113538 b,2010,663.2,114.41,,,La Silla Observatory,Radial Velocity
HD 113538 c,2010,1818.0,295.57,,,La Silla Observatory,Radial Velocity
HD 114386 b,2003,937.70001,362.3262,,,La Silla Observatory,Radial Velocity
HD 114729 b,2002,1121.79,262.20975,,,W. M. Keck Observatory,Radial Velocity
HD 114783 b,2001,493.7,349.6,,,W. M. Keck Observatory,Radial Velocity
HD 11506 b,2007,1617.7,1525.5763536,,,W. M. Keck Observatory,Radial Velocity
HD 11506 c,2008,223.92,127.1313628,,,W. M. Keck Observatory,Radial Velocity
HD 116029 b,2011,670.0,444.962,,,W. M. Keck Observatory,Radial Velocity
HD 117207 b,2004,2621.75,612.14058,,,W. M. Keck Observatory,Radial Velocity
HD 117618 b,2004,25.8,55.30242,,,Anglo-Australian Telescope,Radial Velocity
HD 118203 b,2005,6.1349779,680.15279098,12.778238,1361.0,Haute-Provence Observatory,Radial Velocity
HD 11964 b,2005,1945.0,198.0,,,W. M. Keck Observatory,Radial Velocity
HD 11964 c,2008,37.91,25.0,,,W. M. Keck Observatory,Radial Velocity
HD 11977 b,2005,711.0,2080.0,,,La Silla Observatory,Radial Velocity
HD 121504 b,2003,63.33,479.9233,,,La Silla Observatory,Radial Velocity
HD 125595 b,2009,9.6737,6.3566,,,La Silla Observatory,Radial Velocity
HD 125612 b,2007,557.69994,945.22168242,,,W. M. Keck Observatory,Radial Velocity
HD 125612 c,2009,4.15466,15.57359194,,,La Silla Observatory,Radial Velocity
HD 125612 d,2009,2822.72698,2281.37230545,,,La Silla Observatory,Radial Velocity
HD 126525 b,2018,960.41,75.32571,,,La Silla Observatory,Radial Velocity
HD 126614 b,2009,1257.25303,107.74382997,,,W. M. Keck Observatory,Radial Velocity
HD 12661 b,2000,262.70862,772.3269,,,Multiple Observatories,Radial Velocity
HD 12661 c,2002,1708.0,575.884,,,Multiple Observatories,Radial Velocity
HD 128311 b,2002,453.019,562.24127,,,W. M. Keck Observatory,Radial Velocity
HD 128311 c,2005,921.538,1204.25787,,,W. M. Keck Observatory,Radial Velocity
HD 129445 b,2009,1840.0,508.507,,,Las Campanas Observatory,Radial Velocity
HD 130322 b,1999,10.70871,365.49,,,La Silla Observatory,Radial Velocity
HD 131496 b,2011,896.0,572.094,,,W. M. Keck Observatory,Radial Velocity
HD 13189 b,2005,471.60001,3480.2385,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
HD 132406 b,2007,908.0,1887.90073758,,,Haute-Provence Observatory,Radial Velocity
HD 132563 b,2011,1544.0,473.547,,,Roque de los Muchachos Observatory,Radial Velocity
HD 134060 b,2019,3.2696,10.1,,,La Silla Observatory,Radial Velocity
HD 134060 c,2019,1291.5646,29.29,,,La Silla Observatory,Radial Velocity
HD 134987 b,1999,258.17999,511.7063,,,W. M. Keck Observatory,Radial Velocity
HD 134987 c,2009,5000.0,260.0,,,Multiple Observatories,Radial Velocity
HD 136352 b,2019,11.57797,4.72,1.664,905.0,La Silla Observatory,Radial Velocity
HD 136352 c,2019,27.59221,11.24,2.916,677.0,La Silla Observatory,Radial Velocity
HD 136352 d,2019,107.245,8.82,2.562,431.0,La Silla Observatory,Radial Velocity
HD 136418 b,2009,464.29999,680.1562,,,W. M. Keck Observatory,Radial Velocity
HD 137388 b,2011,330.0,63.566,,,La Silla Observatory,Radial Velocity
HD 13808 b,2021,14.1815,11.2,,,La Silla Observatory,Radial Velocity
HD 13808 c,2021,53.753,9.96,,,La Silla Observatory,Radial Velocity
HD 13931 b,2009,4218.0,699.226,,,W. M. Keck Observatory,Radial Velocity
HD 139357 b,2008,1124.79139,6315.5682755,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
HD 141937 b,2002,662.37,3591.4609991,,,La Silla Observatory,Radial Velocity
HD 142022 A b,2005,1928.0,1411.1652,,,La Silla Observatory,Radial Velocity
HD 142245 b,2011,1299.0,975.7381,,,W. M. Keck Observatory,Radial Velocity
HD 142415 b,2003,386.29999,530.7761,,,La Silla Observatory,Radial Velocity
HD 142 b,2001,351.43394,396.96768034,,,Anglo-Australian Telescope,Radial Velocity
HD 143361 b,2008,1039.15,1122.57556,,,Las Campanas Observatory,Radial Velocity
HD 145377 b,2008,103.95,1913.3366,,,La Silla Observatory,Radial Velocity
HD 145457 b,2010,176.13,888.01256916,,,Subaru Telescope,Radial Velocity
HD 1461 b,2010,5.77152,6.44,,,W. M. Keck Observatory,Radial Velocity
HD 1461 c,2015,13.5052,5.59,,,La Silla Observatory,Radial Velocity
HD 147018 b,2009,44.236,674.0,,,La Silla Observatory,Radial Velocity
HD 147018 c,2009,1008.0,2080.0,,,La Silla Observatory,Radial Velocity
HD 147513 b,2003,528.4,385.0,,,La Silla Observatory,Radial Velocity
HD 148156 b,2009,1027.0,270.144,,,La Silla Observatory,Radial Velocity
HD 148427 b,2009,331.9,381.3940884,,,Lick Observatory,Radial Velocity
HD 149026 b,2005,2.87589,120.7754,8.29466,,Subaru Telescope,Radial Velocity
HD 149143 b,2005,4.07182,422.7139,,,Haute-Provence Observatory,Radial Velocity
HD 1502 b,2011,428.5,874.0325,,,W. M. Keck Observatory,Radial Velocity
HD 152079 b,2009,2918.92,845.74563,,,Las Campanas Observatory,Radial Velocity
HD 152581 b,2011,686.5,594.02427,,,W. M. Keck Observatory,Radial Velocity
HD 153950 b,2008,499.39999,937.5985,,,La Silla Observatory,Radial Velocity
HD 154345 b,2006,3280.0,376.9444907,,,W. M. Keck Observatory,Radial Velocity
HD 154672 b,2008,163.94,1706.7471,,,Las Campanas Observatory,Radial Velocity
HD 154857 b,2004,408.60001,778.6835,,,Anglo-Australian Telescope,Radial Velocity
HD 155358 b,2007,194.3,314.6517,,,McDonald Observatory,Radial Velocity
HD 155358 c,2007,391.9,261.0,,,McDonald Observatory,Radial Velocity
HD 156279 b,2011,133.40355,2997.75753482,,,Haute-Provence Observatory,Radial Velocity
HD 156411 b,2009,842.2,235.18,,,La Silla Observatory,Radial Velocity
HD 156668 b,2010,4.6455,4.15,,,W. M. Keck Observatory,Radial Velocity
HD 156846 b,2007,359.51001,3391.2461,,,La Silla Observatory,Radial Velocity
HD 158038 b,2011,521.0,486.2799,,,W. M. Keck Observatory,Radial Velocity
HD 159868 b,2006,1184.1,704.94694,,,Anglo-Australian Telescope,Radial Velocity
HD 160691 b,2000,645.0,1366.6621501,,,Anglo-Australian Telescope,Radial Velocity
HD 160691 c,2004,3947.0,1398.4449908,,,Anglo-Australian Telescope,Radial Velocity
HD 160691 e,2006,307.9,2224.798849,,,La Silla Observatory,Radial Velocity
HD 16141 b,2000,75.523,82.6358,,,W. M. Keck Observatory,Radial Velocity
HD 16175 b,2009,990.0,1620.933,,,Lick Observatory,Radial Velocity
HD 162020 b,2002,8.4282,3127.4472,,,La Silla Observatory,Radial Velocity
HD 163607 b,2012,75.2203,249.051588,,,W. M. Keck Observatory,Radial Velocity
HD 163607 c,2012,1272.0,699.54383,,,W. M. Keck Observatory,Radial Velocity
HD 16417 b,2008,17.24,22.1,,,Anglo-Australian Telescope,Radial Velocity
HD 164509 b,2012,280.17,140.79869,,,W. M. Keck Observatory,Radial Velocity
HD 164604 b,2009,653.9,4195.3349724,,,Las Campanas Observatory,Radial Velocity
HD 164922 b,2005,1207.0,116.0,,,W. M. Keck Observatory,Radial Velocity
HD 167042 b,2007,417.67,444.00628458,,,Lick Observatory,Radial Velocity
HD 168443 b,1998,58.11187,2424.3950886,,,W. M. Keck Observatory,Radial Velocity
HD 168443 c,2000,1753.1096,5500.33841154,,,W. M. Keck Observatory,Radial Velocity
HD 168746 b,2002,6.404,85.8141,,,La Silla Observatory,Radial Velocity
HD 1690 b,2010,533.0,2793.7257,,,La Silla Observatory,Radial Velocity
HD 169830 b,2000,225.67372,804.42369812,,,La Silla Observatory,Radial Velocity
HD 169830 c,2003,1818.82339,2437.42605328,,,La Silla Observatory,Radial Velocity
HD 170469 b,2007,1145.0,209.7678,,,W. M. Keck Observatory,Radial Velocity
HD 17092 b,2007,359.89999,3219.6179,,,McDonald Observatory,Radial Velocity
HD 171028 b,2007,550.0,832.7146,,,La Silla Observatory,Radial Velocity
HD 171238 b,2009,1515.0,2796.8899816,,,La Silla Observatory,Radial Velocity
HD 17156 b,2007,21.2164294,1036.12060682,12.26262489,888.0,Subaru Telescope,Radial Velocity
HD 173416 b,2008,322.03,585.12209729,,,Xinglong Station,Radial Velocity
HD 175167 b,2009,1175.0,4703.8604236,,,Las Campanas Observatory,Radial Velocity
HD 175541 b,2007,298.43,190.06234,,,W. M. Keck Observatory,Radial Velocity
HD 177830 b,1999,410.10001,537.1327,,,W. M. Keck Observatory,Radial Velocity
HD 177830 c,2010,110.9,47.6725,,,W. M. Keck Observatory,Radial Velocity
HD 178911 B b,2001,71.484,2552.1749,,,W. M. Keck Observatory,Radial Velocity
HD 179079 b,2008,14.479,25.74423,,,W. M. Keck Observatory,Radial Velocity
HD 179949 b,2000,3.092514,291.12,,,Anglo-Australian Telescope,Radial Velocity
HD 180902 b,2009,510.9,535.54355,,,W. M. Keck Observatory,Radial Velocity
HD 181342 b,2009,564.1,807.2882,,,W. M. Keck Observatory,Radial Velocity
HD 181433 b,2008,9.3745,7.22,,,La Silla Observatory,Radial Velocity
HD 181433 c,2008,1018.5,235.5,,,La Silla Observatory,Radial Velocity
HD 181433 d,2008,6896.1,206.91,,,La Silla Observatory,Radial Velocity
HD 181720 b,2009,956.0,127.132,,,La Silla Observatory,Radial Velocity
HD 183263 b,2004,624.87404,1103.1824007,,,W. M. Keck Observatory,Radial Velocity
HD 183263 c,2008,4667.97841,2958.98246917,,,W. M. Keck Observatory,Radial Velocity
HD 185269 b,2006,6.83776,321.0083,,,Lick Observatory,Radial Velocity
HD 187085 b,2006,1019.74,265.70588,,,Anglo-Australian Telescope,Radial Velocity
HD 187123 b,1998,3.0965828,166.218,,,W. M. Keck Observatory,Radial Velocity
HD 187123 c,2008,3810.0,632.46,,,W. M. Keck Observatory,Radial Velocity
HD 18742 b,2011,766.0,1080.622,,,W. M. Keck Observatory,Radial Velocity
HD 188015 b,2004,461.2,476.72,,,W. M. Keck Observatory,Radial Velocity
HD 189733 b,2005,2.21857567,359.1479,12.66617,,Haute-Provence Observatory,Radial Velocity
HD 190360 b,2003,2892.0,533.95172376,,,Haute-Provence Observatory,Radial Velocity
HD 190360 c,2005,17.1173,25.42627256,,,W. M. Keck Observatory,Radial Velocity
HD 190647 b,2007,1176.45,630.89255,,,La Silla Observatory,Radial Velocity
HD 190984 b,2009,4885.0,985.2,,,La Silla Observatory,Radial Velocity
HD 192263 b,1999,24.3556,177.9848,,,La Silla Observatory,Radial Velocity
HD 192310 b,2011,74.72,16.9,,355.0,La Silla Observatory,Radial Velocity
HD 192310 c,2011,525.8,24.0,,185.0,La Silla Observatory,Radial Velocity
HD 192699 b,2007,340.94,666.17168,,,Lick Observatory,Radial Velocity
HD 195019 b,1998,18.20132,1264.9634,,,Lick Observatory,Radial Velocity
HD 196050 b,2002,1392.0,1493.7935129,,,Anglo-Australian Telescope,Radial Velocity
HD 196885 A b,2007,1333.0,819.97,,,Haute-Provence Observatory,Radial Velocity
HD 197037 b,2012,1035.7,251.0,,,McDonald Observatory,Radial Velocity
HD 19994 b,2003,466.2,435.41,,,La Silla Observatory,Radial Velocity
HD 20003 b,2019,11.8482,11.66,,,La Silla Observatory,Radial Velocity
HD 20003 c,2019,33.9239,14.44,,,La Silla Observatory,Radial Velocity
HD 200964 b,2010,606.3,508.21017,,,Lick Observatory,Radial Velocity
HD 200964 c,2010,852.5,385.84562,,,Lick Observatory,Radial Velocity
HD 202206 c,2004,1260.0,5689.157,,,La Silla Observatory,Radial Velocity
HD 2039 b,2002,1120.0,1999.1507,,,Anglo-Australian Telescope,Radial Velocity
HD 204313 b,2010,2041.11539,1466.7780983,,,La Silla Observatory,Radial Velocity
HD 204313 c,2015,34.95875,17.16273398,,,La Silla Observatory,Radial Velocity
HD 204941 b,2011,1733.0,73.1009,,,La Silla Observatory,Radial Velocity
HD 205739 b,2008,279.8,435.41,,,Las Campanas Observatory,Radial Velocity
HD 206610 b,2009,673.2,647.10188,,,W. M. Keck Observatory,Radial Velocity
HD 20781 b,2019,5.3135,1.93,,,La Silla Observatory,Radial Velocity
HD 20781 c,2019,13.8905,5.33,,,La Silla Observatory,Radial Velocity
HD 20782 b,2006,597.0643,472.83,,,Anglo-Australian Telescope,Radial Velocity
HD 20794 b,2011,18.314,2.15,,,La Silla Observatory,Radial Velocity
HD 20794 d,2011,89.68,2.98,,,La Silla Observatory,Radial Velocity
HD 208487 b,2004,129.36,146.20106722,,,Anglo-Australian Telescope,Radial Velocity
HD 20868 b,2008,380.85001,397.2875,,,La Silla Observatory,Radial Velocity
HD 209458 b,1999,3.52474859,232.0159,15.58051,,W. M. Keck Observatory,Radial Velocity
HD 210277 b,1998,442.19,410.0007,,,W. M. Keck Observatory,Radial Velocity
HD 210702 b,2007,355.5,481.5100366,,,Lick Observatory,Radial Velocity
HD 212301 b,2005,2.24571,162.0933,,,La Silla Observatory,Radial Velocity
HD 212771 b,2009,380.7,759.6137,,,W. M. Keck Observatory,Radial Velocity
HD 213240 b,2001,882.70001,1773.4914,,,La Silla Observatory,Radial Velocity
HD 215152 b,2018,5.75999,1.819,,,La Silla Observatory,Radial Velocity
HD 215152 c,2018,7.28243,1.72,,,La Silla Observatory,Radial Velocity
HD 215497 b,2009,3.93404,6.3566,,,La Silla Observatory,Radial Velocity
HD 215497 c,2009,566.0,111.23994245,,,La Silla Observatory,Radial Velocity
HD 216435 b,2002,1311.0,400.4,,,Anglo-Australian Telescope,Radial Velocity
HD 216437 b,2002,1359.0,1334.8793094,,,Anglo-Australian Telescope,Radial Velocity
HD 216770 b,2003,118.45,181.1631,,,La Silla Observatory,Radial Velocity
HD 21693 b,2019,22.6786,8.23,,,La Silla Observatory,Radial Velocity
HD 21693 c,2019,53.7357,17.37,,,La Silla Observatory,Radial Velocity
HD 217107 b,1998,7.1270166,459.57987652,,,Lick Observatory,Radial Velocity
HD 217107 c,2005,5138.7,1388.91013859,,,Lick Observatory,Radial Velocity
HD 217786 b,2011,1301.36009,4402.55909376,,,La Silla Observatory,Radial Velocity
HD 218566 b,2010,225.7,63.566,,,W. M. Keck Observatory,Radial Velocity
91 Aqr b,2013,181.4,1017.0,,,Lick Observatory,Radial Velocity
HD 219828 b,2007,3.83483,19.06970442,,,La Silla Observatory,Radial Velocity
HD 220773 b,2011,3724.7,460.8,,,McDonald Observatory,Radial Velocity
HD 221287 b,2007,456.1,982.05,,,La Silla Observatory,Radial Velocity
HD 222582 b,1999,572.38,2660.2371,,,W. M. Keck Observatory,Radial Velocity
